city,lat,lon,status,folder,total_nodes,total_edges,typed_nodes,pairs_evaluated,paths_found,score_avg_per_pair,score_scaled_x1000,count_cultural,count_leisure,count_office,count_residential,count_green,typed_per_km2,density_factor
Barcelona_ES,41.3874,2.1686,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1658_41.3874_2.1686,18268,21618,256,25860,25860,0.0030888968083402223,2.4678480972650427,0,0,0,0,256,81.48733086305042,0.7989415802436949
Paris_FR,48.8566,2.3522,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1658_48.8566_2.3522,25000,30043,310,28259,28259,0.0024829893048459893,2.08099149502053,0,0,0,0,310,98.6760647169751,0.8380992584056283
NewYork_US,40.7128,-74.006,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1659_40.7128_-74.0060,25452,30287,2690,2531687,2531687,0.0019032766635062618,2.7377578038107084,0,0,0,0,2690,856.253593834397,1.4384444764678328
Copenhagen_DK,55.6758,12.5683,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1700_55.6758_12.5683,13150,14947,322,24916,24916,0.0023788644984160147,2.0127447656836956,0,0,0,0,322,102.4957833511806,0.8460947510982224
Tokyo_JP,35.6895,139.6917,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1701_35.6895_139.6917,19962,22237,113,3506,3506,0.003579175623913031,2.3308141865453473,0,0,0,0,113,35.96901713876835,0.651215372325631
Amsterdam_NL,52.3676,4.9041,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1701_52.3676_4.9041,18967,20816,361,37199,37199,0.0022047632378420796,1.9195250861680178,0,0,0,0,361,114.90986891234844,0.8706264025187395
Madrid_ES,40.4165,-3.7,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1701_40.4165_-3.7000,15014,16653,270,22557,22557,0.002857883857093705,2.313878492122693,0,0,0,0,270,85.94366926962348,0.8096474901802929
MexicoCity_MX,19.4326,-99.1332,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1702_19.4326_-99.1332,4056,4527,96,2574,2574,0.003104191078093326,1.9407575641933452,0,0,0,0,96,30.557749073643905,0.6252055738093959
London_UK,51.5074,-0.1278,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1702_51.5074_-0.1278,21256,25042,189,11275,11275,0.001982391652390664,1.468114554706777,0,0,0,0,189,60.16056848873644,0.7405774499384645
Singapore_SG,1.3521,103.8198,ok,C:\Users\CDH\Documents\GitHub\MaCAD25_Thesis\knowledge\osm\osm_20250812_1702_1.3521_103.8198,2623,2704,13,28,28,0.0020887609289910692,0.7921904566505148,0,0,0,0,13,4.138028520389279,0.3792633449119356
